"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"明","2年","6級から","8","メイ・ミョウ","あ（かり）・あか（るい）・あか（るむ）・あか（らむ）・あきらか・あ（ける）・あ（く）・あくる・あ（かす）","説明（せつめい）・明日（あす）・証明（しょうめい）・発明（はつめい）・判明（はんめい）","日","","","未校正","開ける・空ける・開く・空く"
"鳴","2年","6級から","14","メイ","な（く）・な（る）・な（らす）","悲鳴（ひめい）・鳴動（めいどう）","","","","未校正",""
"毛","2年","6級から","4","モウ","け","不毛（ふもう）・毛皮（けがわ）・羽毛（うもう）・毛糸（けいと）・羊毛（ようもう）","毛","","","未校正",""
"門","2年","6級から","8","モン","かど","専門（せんもん）・門戸（もんこ）・門外漢（もんがいかん）・門下生（もんかせい）・表門（おもてもん）","門","","","未校正",""
"夜","2年","6級から","8","ヤ","よ・よる","深夜（しんや）・昼夜（ちゅうや）・通夜（つや）・夜半（やはん）・月夜（つきよ）","","","","未校正",""
"野","2年","6級から","11","ヤ","の","分野（ぶんや）・野菜（やさい）・野外（やがい）・野原（のはら）・野鳥（やちょう）","里","","","未校正",""
"友","2年","6級から","4","ユウ","とも","友好（ゆうこう）・親友（しんゆう）・友情（ゆうじょう）・幼友達（おさなともだち）","又","","","未校正",""
"用","2年","6級から","5","ヨウ","もち（いる）","使用（しよう）・採用（さいよう）・費用（ひよう）・用意（ようい）・専用（せんよう）","用","","","未校正",""
"曜","2年","6級から","18","ヨウ","","月曜日（げつようび）・日曜（にちよう）・月曜（げつよう）・曜日（ようび）・七曜表（しちようひょう）","日","","","未校正",""
"来","2年","6級から","7","ライ","く（る）・きたる・きた（す）","将来（しょうらい）・本来（ほんらい）・未来（みらい）・来年（らいねん）・出来事（できごと）","","","","未校正",""
"里","2年","6級から","7","リ","さと","郷里（きょうり）・千里眼（せんりがん）・村里（むらざと）・里心（さとごころ）・里程（りてい）","里","","","未校正",""
"理","2年","6級から","11","リ","","管理（かんり）・理解（りかい）・理由（りゆう）・料理（りょうり）・無理（むり）","王","玉","","未校正",""
"話","2年","6級から","13","ワ","はな（す）・はなし","話題（わだい）・会話（かいわ）・談話（だんわ）・童話（どうわ）・昔話（むかしばなし）","言","","","未校正",""
"悪","3年","6級から","11","アク・オ","わる（い）","悪意（あくい）・悪夢（あくむ）・善悪（ぜんあく）・悪者（わるもの）・悪事（あくじ）","","","","未校正",""
"安","3年","6級から","6","アン","やす（い）","安全（あんぜん）・不安（ふあん）・安定（あんてい）・治安（ちあん）・安易（あんい）","宀","","","未校正",""
"暗","3年","6級から","13","アン","くら（い）","暗示（あんじ）・暗黒（あんこく）・明暗（めいあん）・暗幕（あんまく）","日","","","未校正",""
"医","3年","6級から","7","イ","","医師（いし）・医学（いがく）・医者（いしゃ）・名医（めいい）","匸","","","未校正",""
"委","3年","6級から","8","イ","ゆだ（ねる）","委員（いいん）・委任（いにん）・委細（いさい）","","","","未校正",""
"意","3年","6級から","13","イ","","意味（いみ）・意見（いけん）・意識（いしき）・注意（ちゅうい）・用意（ようい）","","","","未校正",""
"育","3年","6級から","8","イク","そだ（つ）・そだ（てる）・はぐく（む）","教育（きょういく）・育児（いくじ）・飼育（しいく）・養育（よういく）・発育（はついく）","","","","未校正",""
"員","3年","6級から","10","イン","","委員（いいん）・社員（しゃいん）・定員（ていいん）・人員（じんいん）・満員（まんいん）","口","","","未校正",""
"院","3年","6級から","10","イン","","病院（びょういん）・寺院（じいん）・議院（ぎいん）・院内（いんない）","⻖","阜","","未校正",""
"飲","3年","6級から","12","イン","の（む）","飲食（いんしょく）・飲料（いんりょう）・飲酒（いんしゅ）・痛飲（つういん）","飠","食","","未校正",""
"運","3年","6級から","12","ウン","はこ（ぶ）","運動（うんどう）・運転（うんてん）・運命（うんめい）・運賃（うんちん）・運輸（うんゆ）","⻌","辶","","未校正",""
"泳","3年","6級から","8","エイ","およ（ぐ）","水泳（すいえい）・競泳（きょうえい）・泳法（えいほう）・背泳（はいえい）","氵","水","","未校正",""
"駅","3年","6級から","14","エキ","","駅伝（えきでん）・駅長（えきちょう）・貨物駅（かもつえき）","馬","","","未校正",""
"央","3年","6級から","5","オウ","","中央（ちゅうおう）","","","","未校正",""
"横","3年","6級から","15","オウ","よこ","横断（おうだん）・横領（おうりょう）・縦横（じゅうおう）・横顔（よこがお）・横暴（おうぼう）","木","","","未校正",""
"屋","3年","6級から","9","オク","や","屋根（やね）・屋上（おくじょう）・家屋（かおく）・屋外（おくがい）・問屋（とんや）","尸","","","未校正","家"
"温","3年","6級から","12","オン","あたたか・あたた（かい）・あたた（まる）・あたた（める）","温泉（おんせん）・気温（きおん）・温暖（おんだん）・温厚（おんこう）","氵","水","","未校正","暖か・暖かい・暖まる・暖める"
"化","3年","6級から","4","カ・ケ","ば（ける）・ば（かす）","文化（ぶんか）・変化（へんか）・化学（かがく）・文化財（ぶんかざい）・化石（かせき）","","","","未校正",""
"荷","3年","6級から","10","カ","に","荷物（にもつ）・出荷（しゅっか）・入荷（にゅうか）・荷役（にやく）・初荷（はつに）","艹","艸","","未校正",""
"界","3年","6級から","9","カイ","","世界（せかい）・限界（げんかい）・境界（きょうかい）","田","","","未校正",""
"開","3年","6級から","12","カイ","ひら（く）・ひら（ける）・あ（く）・あ（ける）","展開（てんかい）・開始（かいし）・開店（かいてん）・開口（かいこう）・開眼（かいがん）","門","","","未校正","空く・明く・空ける・明ける"
"階","3年","6級から","12","カイ","","階級（かいきゅう）・階段（かいだん）・地階（ちかい）","⻖","阜","","未校正",""
"寒","3年","6級から","12","カン","さむ（い）","寒冷（かんれい）・悪寒（おかん）・寒空（さむぞら）・寒暑（かんしょ）・寒村（かんそん）","宀","","","未校正",""
"感","3年","6級から","13","カン","","感謝（かんしゃ）・感覚（かんかく）・感想（かんそう）・感心（かんしん）・感激（かんげき）","心","","","未校正",""
"漢","3年","6級から","13","カン","","漢字（かんじ）・漢語（かんご）・門外漢（もんがいかん）","氵","水","","未校正",""
"館","3年","6級から","16","カン","やかた","図書館（としょかん）・旅館（りょかん）・館内（かんない）","飠","食","","未校正",""
"岸","3年","6級から","8","ガン","きし","海岸（かいがん）・対岸（たいがん）・岸辺（きしべ）・川岸（かわぎし）・右岸（うがん）","山","","","未校正",""
"起","3年","6級から","10","キ","お（きる）・お（こる）・お（こす）","起源（きげん）・起立（きりつ）・奮起（ふんき）・発起（ほっき）","走","","","未校正","興る・興す"
"期","3年","6級から","12","キ・ゴ","","期待（きたい）・期間（きかん）・初期（しょき）・期限（きげん）・延期（えんき）","月","","","未校正",""
"客","3年","6級から","9","キャク・カク","","客観（きゃっかん）・乗客（じょうきゃく）・旅客（りょかく）・客車（きゃくしゃ）・客間（きゃくま）","宀","","","未校正",""
"究","3年","6級から","7","キュウ","きわ（める）","研究（けんきゅう）・究明（きゅうめい）・学究（がっきゅう）","穴","","","未校正","窮める・極める"
"急","3年","6級から","9","キュウ","いそ（ぐ）","急速（きゅうそく）・早急（そうきゅう）・救急（きゅうきゅう）・急務（きゅうむ）・急坂（きゅうはん）","心","","","未校正",""
"級","3年","6級から","9","キュウ","","高級（こうきゅう）・階級（かいきゅう）・上級（じょうきゅう）・等級（とうきゅう）・進級（しんきゅう）","糸","","","未校正",""
"宮","3年","6級から","10","キュウ・グウ・ク","みや","宮崎（みやざき）・宮城（きゅうじょう）・神宮（じんぐう）・宮司（ぐうじ）・東宮（とうぐう）","宀","","","未校正",""
"球","3年","6級から","11","キュウ","たま","地球（ちきゅう）・眼球（がんきゅう）・球技（きゅうぎ）・北半球（きたはんきゅう）・球形（きゅうけい）","王","玉","","未校正","玉・弾"
"去","3年","6級から","5","キョ・コ","さ（る）","過去（かこ）・去年（きょねん）・除去（じょきょ）・去就（きょしゅう）","","","","未校正",""
"橋","3年","6級から","16","キョウ","はし","歩道橋（ほどうきょう）・鉄橋（てっきょう）・陸橋（りっきょう）・丸木橋（まるきばし）","木","","","未校正",""
"業","3年","6級から","13","ギョウ・ゴウ","わざ","作業（さぎょう）・産業（さんぎょう）・営業（えいぎょう）・農業（のうぎょう）・卒業（そつぎょう）","","","","未校正","技"
"曲","3年","6級から","6","キョク","ま（がる）・ま（げる）","曲線（きょくせん）・名曲（めいきょく）・歌曲（かきょく）・曲面（きょくめん）","","","","未校正",""
"局","3年","6級から","7","キョク","","結局（けっきょく）・薬局（やっきょく）・局部（きょくぶ）・時局（じきょく）","尸","","","未校正",""
"銀","3年","6級から","14","ギン","","銀行（ぎんこう）・水銀（すいぎん）・銀貨（ぎんか）","金","","","未校正",""
"区","3年","6級から","4","ク","","地区（ちく）・区別（くべつ）・区域（くいき）・区画（くかく）","匸","","","未校正",""
"苦","3年","6級から","8","ク","くる（しい）・くる（しむ）・くる（しめる）・にが（い）・にがる","苦労（くろう）・苦痛（くつう）・苦戦（くせん）・苦心（くしん）・苦虫（にがむし）","艹","艸","","未校正",""
"具","3年","6級から","8","グ","","道具（どうぐ）・金具（かなぐ）・雨具（あまぐ）・具体的（ぐたいてき）・具備（ぐび）","","","","未校正",""
"君","3年","6級から","7","クン","きみ","諸君（しょくん）・君主（くんしゅ）・君臨（くんりん）・君臣（くんしん）・母君（ははぎみ）","口","","","未校正",""
"係","3年","6級から","9","ケイ","かか（る）・かかり","関係（かんけい）・係員（かかりいん）・係争（けいそう）","亻","人","","未校正","掛かる・掛"
"軽","3年","6級から","12","ケイ","かる（い）・かろやか","軽快（けいかい）・軽率（けいそつ）","車","","","未校正",""
"血","3年","6級から","6","ケツ","ち","血液（けつえき）・血統（けっとう）・鼻血（はなぢ）・血眼（ちまなこ）・血液型（けつえきがた）","血","","","未校正",""
"決","3年","6級から","7","ケツ","き（める）・き（まる）","決定（けってい）・解決（かいけつ）・決意（けつい）・票決（ひょうけつ）","氵","水","","未校正",""
"研","3年","6級から","9","ケン","と（ぐ）","研究（けんきゅう）・研修（けんしゅう）","石","","","未校正",""
"県","3年","6級から","9","ケン","","県立（けんりつ）・県庁（けんちょう）・府県（ふけん）・愛媛県（えひめけん）・茨城県（いばらきけん）","","","","未校正",""
"庫","3年","6級から","10","コ・ク","","文庫（ぶんこ）・倉庫（そうこ）・車庫（しゃこ）・庫裏（くり）","广","","","未校正",""
"湖","3年","6級から","12","コ","みずうみ","湖水（こすい）","氵","水","","未校正",""
"向","3年","6級から","6","コウ","む（く）・む（ける）・む（かう）・む（こう）","向上（こうじょう）・回向（えこう）","","","","未校正",""
"幸","3年","6級から","8","コウ","さいわ（い）・さち・しあわ（せ）","不幸（ふこう）・幸福（こうふく）・行幸（ぎょうこう）","","","","未校正",""
"港","3年","6級から","12","コウ","みなと","空港（くうこう）・漁港（ぎょこう）・寄港（きこう）・出港（しゅっこう）・築港（ちっこう）","氵","水","","未校正",""
"号","3年","6級から","5","ゴウ","","番号（ばんごう）・記号（きごう）・号泣（ごうきゅう）・号外（ごうがい）・号令（ごうれい）","口","","","未校正",""
"根","3年","6級から","10","コン","ね","屋根（やね）・根性（こんじょう）・根幹（こんかん）・根気（こんき）・病根（びょうこん）","木","","","未校正",""
"祭","3年","6級から","11","サイ","まつ（る）・まつ（り）","祭礼（さいれい）・文化祭（ぶんかさい）","示","","","未校正",""
"皿","3年","6級から","5","","さら","灰皿（はいざら）・小皿（こざら）・大皿（おおざら）","皿","","","未校正",""
"仕","3年","6級から","5","シ・ジ","つか（える）","仕事（しごと）・仕業（しわざ）・給仕（きゅうじ）・力仕事（ちからしごと）・出仕（しゅっし）","亻","人","","未校正",""
"死","3年","6級から","6","シ","し（ぬ）","死亡（しぼう）・必死（ひっし）・死角（しかく）・客死（かくし）","歹","","","未校正",""
"使","3年","6級から","8","シ","つか（う）","使用（しよう）・使者（ししゃ）・使役（しえき）","亻","人","","未校正","遣う"
"始","3年","6級から","8","シ","はじ（める）・はじ（まる）","開始（かいし）・年始（ねんし）・始終（しじゅう）","女","","","未校正","初め・初めて"
"指","3年","6級から","9","シ","ゆび・さ（す）","指導（しどう）・指示（しじ）・指揮（しき）・指先（ゆびさき）・指南（しなん）","扌","手","","未校正","差す・刺す・挿す"
"歯","3年","6級から","12","シ","は","歯科（しか）・歯車（はぐるま）・乳歯（にゅうし）・義歯（ぎし）・犬歯（けんし）","歯","齒","","未校正",""
"詩","3年","6級から","13","シ","","詩人（しじん）・詩歌（しか）・詩情（しじょう）","言","","","未校正",""
"次","3年","6級から","6","ジ・シ","つ（ぐ）・つぎ","次第（しだい）・次回（じかい）・目次（もくじ）・次元（じげん）","","","","未校正","継ぐ"
"事","3年","6級から","8","ジ・ズ","こと","仕事（しごと）・事件（じけん）・事務（じむ）・事故（じこ）・食事（しょくじ）","亅","","","未校正",""
"持","3年","6級から","9","ジ","も（つ）","支持（しじ）・持続（じぞく）・持参（じさん）・持久（じきゅう）","扌","手","","未校正",""
"式","3年","6級から","6","シキ","","株式（かぶしき）・形式（けいしき）・様式（ようしき）・式典（しきてん）・数式（すうしき）","弋","","","未校正",""
"実","3年","6級から","8","ジツ","み・みの（る）","実験（じっけん）・実力（じつりょく）・誠実（せいじつ）・忠実（ちゅうじつ）・果実（かじつ）","宀","","","未校正",""
"写","3年","6級から","5","シャ","うつ（す）・うつ（る）","写真（しゃしん）・映写（えいしゃ）・写経（しゃきょう）・写真版（しゃしんばん）","冖","","","未校正","映す・映る"
"者","3年","6級から","8","シャ","もの","若者（わかもの）・医者（いしゃ）・初心者（しょしんしゃ）・第三者（だいさんしゃ）・前者（ぜんしゃ）","耂","老","","未校正",""
"主","3年","6級から","5","シュ・ス","ぬし・おも","主張（しゅちょう）・主体（しゅたい）・主人（しゅじん）・主婦（しゅふ）・主権（しゅけん）","","","","未校正",""
"守","3年","6級から","6","シュ・ス","まも（る）・もり","保守（ほしゅ）・守備（しゅび）・留守（るす）・子守（こもり）・守衛（しゅえい）","宀","","","未校正",""
"取","3年","6級から","8","シュ","と（る）","取材（しゅざい）・鳥取（とりとり）・関取（せきとり）・取捨（しゅしゃ）・鳥取県（とっとりけん）","","","","未校正","採る・執る・捕る"
"酒","3年","6級から","10","シュ","さけ・さか","飲酒（いんしゅ）・酒場（さかば）・酒屋（さかや）・梅酒（うめしゅ）・酒蔵（さかぐら）","","","","未校正",""
"受","3年","6級から","8","ジュ","う（ける）・う（かる）","受験（じゅけん）・受賞（じゅしょう）・受付（うけつけ）","","","","未校正","請ける"
"州","3年","6級から","6","シュウ","す","三角州（さんかくす）・州議会（しゅうぎかい）・中州（なかす）・六大州（ろくだいしゅう）","","","","未校正",""
"拾","3年","6級から","9","シュウ・ジュウ","ひろ（う）","収拾（しゅうしゅう）・拾得（しゅうとく）","扌","手","","未校正",""
"終","3年","6級から","11","シュウ","お（わる）・お（える）","最終（さいしゅう）・終日（しゅうじつ）・始終（しじゅう）・終極（しゅうきょく）","糸","","","未校正",""
"習","3年","6級から","11","シュウ","なら（う）","練習（れんしゅう）・学習（がくしゅう）・習慣（しゅうかん）・習得（しゅうとく）","羽","","","未校正","倣う"
"集","3年","6級から","12","シュウ","あつ（まる）・あつ（める）・つど（う）","編集（へんしゅう）・集団（しゅうだん）・集合（しゅうごう）・集落（しゅうらく）・全集（ぜんしゅう）","隹","","","未校正",""
"住","3年","6級から","7","ジュウ","す（む）・す（まう）","住所（じゅうしょ）・居住（きょじゅう）・住居（じゅうきょ）・安住（あんじゅう）・衣食住（いしょくじゅう）","亻","人","","未校正",""
"重","3年","6級から","9","ジュウ・チョウ","え・おも（い）・かさ（ねる）・かさ（なる）","重要（じゅうよう）・貴重（きちょう）・重大（じゅうだい）・重量（じゅうりょう）・重複（ちょうふく）","","","","未校正",""
"宿","3年","6級から","11","シュク","やど・やど（る）・やど（す）","宿題（しゅくだい）・合宿（がっしゅく）・寄宿舎（きしゅくしゃ）・宿屋（やどや）・寄宿（きしゅく）","宀","","","未校正",""
"所","3年","6級から","8","ショ","ところ","場所（ばしょ）・所得（しょとく）・所有（しょゆう）・近所（きんじょ）・住所（じゅうしょ）","戸","","","未校正",""
"暑","3年","6級から","12","ショ","あつ（い）","残暑（ざんしょ）・寒暑（かんしょ）・暑気（しょき）","日","","","未校正","熱い"
"助","3年","6級から","7","ジョ","たす（ける）・たす（かる）・すけ","救助（きゅうじょ）・助力（じょりょく）・助太刀（すけだち）","力","","","未校正",""
"昭","3年","6級から","9","ショウ","","昭和（しょうわ）","日","","","未校正",""
"消","3年","6級から","10","ショウ","き（える）・け（す）","消費（しょうひ）・消失（しょうしつ）・消息（しょうそく）・消極的（しょうきょくてき）・費消（ひしょう）","氵","水","","未校正",""
"商","3年","6級から","11","ショウ","あきな（う）","商売（しょうばい）・商業（しょうぎょう）・商店街（しょうてんがい）・商売敵（しょうばいがたき）・貿易商（ぼうえきしょう）","","","","未校正",""
"章","3年","6級から","11","ショウ","","文章（ぶんしょう）・憲章（けんしょう）","","","","未校正",""
"勝","3年","6級から","12","ショウ","か（つ）・まさ（る）","勝手（かって）・優勝（ゆうしょう）・勝利（しょうり）・勝負（しょうぶ）・勝敗（しょうはい）","","","","未校正",""
"乗","3年","6級から","9","ジョウ","の（る）・の（せる）","乗客（じょうきゃく）・乗車（じょうしゃ）・便乗（びんじょう）・乗馬（じょうば）・乗船（じょうせん）","丿","","","未校正","載る・載せる"
"植","3年","6級から","12","ショク","う（える）・う（わる）","植物（しょくぶつ）・植木（うえき）・植樹（しょくじゅ）・誤植（ごしょく）","木","","","未校正",""
"申","3年","6級から","5","シン","もう（す）","申告（しんこく）・内申書（ないしんしょ）","","","","未校正",""
"身","3年","6級から","7","シン","み","身体（からだ）・心身（しんしん）・身内（みうち）・単身（たんしん）・親身（しんみ）","身","","","未校正",""
"神","3年","6級から","9","シン・ジン","かみ・かん・こう","精神（せいしん）・神様（かみさま）・神社（じんじゃ）・神経（しんけい）・阪神（はんしん）","礻","示","","未校正",""
"真","3年","6級から","10","シン","ま","写真（しゃしん）・真相（しんそう）・真夏（まなつ）・純真（じゅんしん）・真紅（しんく）","","","","未校正",""
"深","3年","6級から","11","シン","ふか（い）・ふか（まる）・ふか（める）","深刻（しんこく）・深夜（しんや）・水深（すいしん）・深山（みやま）・深紅（しんく）","氵","水","","未校正",""
"進","3年","6級から","11","シン","すす（む）・すす（める）","推進（すいしん）・進歩（しんぽ）・前進（ぜんしん）・行進（こうしん）・精進（しょうじん）","⻌","辶","","未校正","勧める・薦める"
"世","3年","6級から","5","セイ・セ","よ","世界（せかい）・世紀（せいき）・世代（せだい）・世間（せけん）・出世（しゅっせ）","","","","未校正",""
"整","3年","6級から","16","セイ","ととの（える）・ととの（う）","調整（ちょうせい）・整理（せいり）・整列（せいれつ）","","","","未校正","調える・調う"
"昔","3年","6級から","8","セキ・シャク","むかし","昔話（むかしばなし）・今昔（こんじゃく）・昔時（せきじ）・昔日（せきじつ）・昔年（せきねん）","日","","","未校正",""
"全","3年","6級から","6","ゼン","まった（く）・すべ（て）","安全（あんぜん）・完全（かんぜん）・全国（ぜんこく）・全部（ぜんぶ）・万全（ばんぜん）","人","","","未校正",""
"相","3年","6級から","9","ソウ・ショウ","あい","相手（あいて）・相談（そうだん）・相当（そうとう）・首相（しゅしょう）・真相（しんそう）","","","","未校正",""
"送","3年","6級から","9","ソウ","おく（る）","放送（ほうそう）・輸送（ゆそう）・郵送（ゆうそう）・運送（うんそう）・送別（そうべつ）","⻌","辶","","未校正","贈る"
"想","3年","6級から","13","ソウ・ソ","","予想（よそう）・想像（そうぞう）・感想（かんそう）・思想（しそう）・空想（くうそう）","心","","","未校正",""
"息","3年","6級から","10","ソク","いき","一息（ひといき）・休息（きゅうそく）・消息（しょうそく）・子息（しそく）","","","","未校正",""
"速","3年","6級から","10","ソク","はや（い）・はや（める）・はや（まる）・すみやか","速度（そくど）・早速（さっそく）・急速（きゅうそく）・時速（じそく）・秒速（びょうそく）","⻌","辶","","未校正","早い・早める・早まる"
"族","3年","6級から","11","ゾク","","家族（かぞく）・民族（みんぞく）・親族（しんぞく）・一族（いちぞく）","方","","","未校正",""
"他","3年","6級から","5","タ","ほか","他国（たこく）・自他（じた）","亻","人","","未校正","外"
"打","3年","6級から","5","ダ","う（つ）","打破（だは）・乱打（らんだ）","扌","手","","未校正","撃つ・討つ"
"対","3年","6級から","7","タイ・ツイ","","対象（たいしょう）・対策（たいさく）・反対（はんたい）・絶対（ぜったい）・対立（たいりつ）","","","","未校正",""
"待","3年","6級から","9","タイ","ま（つ）","期待（きたい）・招待（しょうたい）・待機（たいき）・接待（せったい）","彳","","","未校正",""
"代","3年","6級から","5","ダイ・タイ","か（わる）・か（える）・よ・しろ","代表（だいひょう）・現代（げんだい）・年代（ねんだい）・世代（せだい）・近代（きんだい）","亻","人","","未校正","換わる・替わる・変わる・換える・替える・変える"
"第","3年","6級から","11","ダイ","","次第（しだい）・第三者（だいさんしゃ）・第一（だいいち）・第一位（だいいちい）","竹","","","未校正",""
"題","3年","6級から","18","ダイ","","問題（もんだい）・話題（わだい）・宿題（しゅくだい）・題名（だいめい）・出題（しゅつだい）","","","","未校正",""
"炭","3年","6級から","9","タン","すみ","石炭（せきたん）・炭鉱（たんこう）・炭火（すみび）・木炭（もくたん）","","","","未校正",""
"短","3年","6級から","12","タン","みじか（い）","短縮（たんしゅく）・短歌（たんか）・短所（たんしょ）・短冊（たんざく）・長短（ちょうたん）","矢","","","未校正",""
"談","3年","6級から","15","ダン","","相談（そうだん）・雑談（ざつだん）・談話（だんわ）・座談（ざだん）・談笑（だんしょう）","言","","","未校正",""
"着","3年","6級から","12","チャク・ジャク","き（る）・き（せる）・つ（く）・つ（ける）","着物（きもの）・着手（ちゃくしゅ）・着用（ちゃくよう）・着陸（ちゃくりく）・愛着（あいちゃく）","","","","未校正","付く・就く・付ける・就ける"
"注","3年","6級から","8","チュウ","そそ（ぐ）","注意（ちゅうい）・発注（はっちゅう）・要注意（ようちゅうい）・注入（ちゅうにゅう）・注視（ちゅうし）","氵","水","","未校正",""
"柱","3年","6級から","9","チュウ","はしら","電柱（でんちゅう）・支柱（しちゅう）・円柱（えんちゅう）・大黒柱（だいこくばしら）","木","","","未校正",""
"丁","3年","6級から","2","チョウ・テイ","","丁字路（ていじろ）・丁数（ちょうすう）・落丁（らくちょう）","一","","","未校正",""
"帳","3年","6級から","11","チョウ","","通帳（つうちょう）・元帳（もとちょう）・帳面（ちょうめん）","巾","","","未校正",""
"調","3年","6級から","15","チョウ","しら（べる）・ととの（う）・ととの（える）","調査（ちょうさ）・調整（ちょうせい）・調達（ちょうたつ）・順調（じゅんちょう）・調和（ちょうわ）","言","","","未校正","整う・整える"
"追","3年","6級から","9","ツイ","お（う）","追加（ついか）・追求（ついきゅう）・追放（ついほう）・追試（ついし）","⻌","辶","","未校正",""
"定","3年","6級から","8","テイ・ジョウ","さだ（める）・さだ（まる）・さだか","固定（こてい）・予定（よてい）・決定（けってい）・安定（あんてい）・否定（ひてい）","宀","","","未校正",""
"庭","3年","6級から","10","テイ","にわ","家庭（かてい）・庭園（ていえん）・中庭（なかにわ）・校庭（こうてい）・庭先（にわさき）","广","","","未校正",""
"笛","3年","6級から","11","テキ","ふえ","口笛（くちぶえ）・汽笛（きてき）・警笛（けいてき）・角笛（つのぶえ）・牧笛（ぼくてき）","竹","","","未校正",""
"鉄","3年","6級から","13","テツ","","鉄道（てつどう）・鉄筋（てっきん）・鉄板（てっぱん）・製鉄（せいてつ）・鉄則（てっそく）","金","","","未校正",""
"転","3年","6級から","11","テン","ころ（がる）・ころ（げる）・ころ（がす）・ころ（ぶ）","運転（うんてん）・回転（かいてん）・移転（いてん）・逆転（ぎゃくてん）・転出（てんしゅつ）","車","","","未校正",""
"都","3年","6級から","11","ト・ツ","みやこ","都市（とし）・都合（つごう）・首都（しゅと）・都会（とかい）・都心（としん）","⻏","邑","","未校正",""
"度","3年","6級から","9","ド・ト・タク","たび","制度（せいど）・程度（ていど）・一度（いちど）・速度（そくど）・再度（さいど）","广","","","未校正",""
"投","3年","6級から","7","トウ","な（げる）","投資（とうし）・投票（とうひょう）・投下（とうか）・暴投（ぼうとう）","扌","手","","未校正",""
"豆","3年","6級から","7","トウ・ズ","まめ","大豆（だいず）・納豆（なっとう）","豆","","","未校正",""
"島","3年","6級から","10","トウ","しま","鹿児島（かごしま）・半島（はんとう）・列島（れっとう）・島国（しまぐに）・島民（とうみん）","","","","未校正",""
"湯","3年","6級から","12","トウ","ゆ","銭湯（せんとう）・熱湯（ねっとう）・湯治（とうじ）・湯水（ゆみず）・産湯（うぶゆ）","氵","水","","未校正",""
"登","3年","6級から","12","トウ・ト","のぼ（る）","登山（とざん）・登校（とうこう）・登記（とうき）・登城（とじょう）","癶","","","未校正","上る・昇る"
"等","3年","6級から","12","トウ","ひと（しい）","平等（びょうどう）・均等（きんとう）・等級（とうきゅう）・等分（とうぶん）・等身大（とうしんだい）","竹","","","未校正",""
"動","3年","6級から","11","ドウ","うご（く）・うご（かす）","活動（かつどう）・運動（うんどう）・動物（どうぶつ）・動作（どうさ）・流動（りゅうどう）","力","","","未校正",""
"童","3年","6級から","12","ドウ","わらべ","児童（じどう）・童話（どうわ）・童顔（どうがん）・童心（どうしん）・童歌（わらべうた）","立","","","未校正",""
"農","3年","6級から","13","ノウ","","農業（のうぎょう）・農村（のうそん）・農耕（のうこう）・農夫（のうふ）・農具（のうぐ）","辰","","","未校正",""
"波","3年","6級から","8","ハ","なみ","電波（でんぱ）","氵","水","","未校正",""
"配","3年","6級から","10","ハイ","くば（る）","心配（しんぱい）・配分（はいぶん）・気配（けはい）・配給（はいきゅう）・交配（こうはい）","酉","","","未校正",""
"倍","3年","6級から","10","バイ","","倍率（ばいりつ）・二倍（にばい）・倍加（ばいか）","亻","人","","未校正",""
"箱","3年","6級から","15","","はこ","箱庭（はこにわ）・小箱（こばこ）・巣箱（すばこ）","竹","","","未校正",""
"畑","3年","6級から","9","","はた・はたけ","畑作（はたさく）・麦畑（むぎばたけ）","","","","未校正",""
"発","3年","6級から","9","ハツ・ホツ","","発表（はっぴょう）・発生（はっせい）・発展（はってん）・発揮（はっき）・発電（はつでん）","癶","","","未校正",""
"反","3年","6級から","4","ハン・ホン・タン","そ（る）・そ（らす）","反対（はんたい）・反省（はんせい）・反映（はんえい）・反乱（はんらん）・反射鏡（はんしゃきょう）","","","","未校正",""
"坂","3年","6級から","7","ハン","さか","坂道（さかみち）・急坂（きゅうはん）","土","","","未校正",""
"板","3年","6級から","8","ハン・バン","いた","看板（かんばん）・黒板（こくばん）・鉄板（てっぱん）・板前（いたまえ）・胸板（むないた）","木","","","未校正",""
"皮","3年","6級から","5","ヒ","かわ","毛皮（けがわ）・皮革（ひかく）・樹皮（じゅひ）・皮相（ひそう）","皮","","","未校正","革"
"悲","3年","6級から","12","ヒ","かな（しい）・かな（しむ）","悲劇（ひげき）・悲鳴（ひめい）・悲喜（ひき）","","","","未校正",""
"美","3年","6級から","9","ビ","うつく（しい）","美術（びじゅつ）・賛美（さんび）・美男（びなん）","⺷","羊","","未校正",""
"鼻","3年","6級から","14","ビ","はな","鼻血（はなぢ）・耳鼻科（じびか）・小鼻（こばな）・鼻音（びおん）・鼻面（はなづら）","鼻","","","未校正",""
"筆","3年","6級から","12","ヒツ","ふで","筆記（ひっき）・万年筆（まんねんひつ）・直筆（じきひつ）・筆舌（ひつぜつ）・筆先（ふでさき）","竹","","","未校正",""
"氷","3年","6級から","5","ヒョウ","こおり・ひ","氷山（ひょうざん）・結氷（けっぴょう）・氷雨（ひさめ）・氷点（ひょうてん）","","","","未校正",""
"表","3年","6級から","8","ヒョウ","おもて・あらわ（す）・あらわ（れる）","代表（だいひょう）・発表（はっぴょう）・表現（ひょうげん）・表面（ひょうめん）・図表（ずひょう）","","","","未校正","面・現す・著す・現れる"
